set,id,number,name,faction,type,description,glory,restricted,set
Shadespire,166,166,Bodyguard for a Price,Spiteclaw's Swarm,Upgrade,"If Skritch is adjacent to this fighter, Skritch is on Guard (even if Skritch has made a Charge action this phase)",-,Krrk the Almost-Trusted,Spiteclaw's Swarm expansion
Shadespire,167,167,Expendable,Spiteclaw's Swarm,Upgrade,"Reaction: During an Attack action that will cause any damage to this fighter, you can remove them from the battlefield and deal 1 damage to their attacker",-,"Lurking Skaven, Hungering Skaven, Festering Skaven",Spiteclaw's Swarm expansion
Shadespire,168,168,Festering Blades,Spiteclaw's Swarm,Upgrade,"On a critical hit, this fighter's Attack actions with a Range of 1 or 2 have +2 Damage",-,Festering Skaven,Spiteclaw's Swarm expansion
Shadespire,169,169,Flee!,Spiteclaw's Swarm,Upgrade,Action: This fighter and one adjacent friendly fighter can make a Move action. Both figthers must end their move further away from all enemy fighters,-,Skritch Spiteclaw,Spiteclaw's Swarm expansion
Shadespire,170,170,Skitter-scurry,Spiteclaw's Swarm,Upgrade,"Reaction: After any action that this fighter makes, you can push this fighter one hex",-,"Skritch Spiteclaw, Krrk the Almost-Trusted",Spiteclaw's Swarm expansion
Shadespire,171,171,Sneaky Stab-stab,Spiteclaw's Swarm,Upgrade,"You can push this fighter one hex before they take an Attack action, though not when this fighter takes a Charge action",-,-,Spiteclaw's Swarm expansion
Shadespire,172,172,Swarm of Rats,Spiteclaw's Swarm,Upgrade,[1 Hex | 3 Sword | 1 Damage] Targets all adjacent enemy fighters - roll for each,-,Krrk the Almost-Trusted,Spiteclaw's Swarm expansion
Shadespire,173,173,Throwing Stars,Spiteclaw's Swarm,Upgrade,[3 Hex | 3 Sword | 1 Damage],-,Lurking Skaven,Spiteclaw's Swarm expansion
Shadespire,174,174,Whirling Halberd,Spiteclaw's Swarm,Upgrade,[1 Hex | 2 Sword | 2 Damage] Targets all adjacent enemy fighters - roll for each,-,Skritch Spiteclaw,Spiteclaw's Swarm expansion
Shadespire,175,175,All the Better to Slay Them,Magore's Fiends,Objective,Score this immediately if all friendly figthers (at least three) are adjacent to a different enemy fighter,1,-,Magore's Fiends expansion
Shadespire,176,176,Bane of Champions,Magore's Fiends,Objective,Score this immediately if Riptooth takes an enemy leader out of action,2,-,Magore's Fiends expansion
Shadespire,177,177,Bloody Annihilation,Magore's Fiends,Objective,Score this in an end phase if all enemy fighters have been taken out of action,3,-,Magore's Fiends expansion
Shadespire,178,178,Khorne Sees Us,Magore's Fiends,Objective,Score this immediately if your warband takes two or more enemy fighters out of action in a phase,1,-,Magore's Fiends expansion
Shadespire,179,179,Kill! Kill Again!,Magore's Fiends,Objective,Score this in an end phase if at least two fighters from each warband are out of action,1,-,Magore's Fiends expansion
Shadespire,180,180,No Escape,Magore's Fiends,Objective,Score this immediately if three or more of your fighters made a Charge action this phase,1,-,Magore's Fiends expansion
Shadespire,181,181,Rivers of Blood,Magore's Fiends,Objective,Score this in an end phase if all surviving fighters (at least four) are wounded,2,-,Magore's Fiends expansion
Shadespire,182,182,Save the Best,Magore's Fiends,Objective,Score this in an end phase if an enemy leader is the only surviving enemy fighter,2,-,Magore's Fiends expansion
Shadespire,183,183,Show of Strength,Magore's Fiends,Objective,Score this immediately if your leader takes an enemy fighter out of action,1,-,Magore's Fiends expansion
Shadespire,184,184,Blood Frenzy,Magore's Fiends,Ploy,Reaction: Play this after an Attack action or ploy that takes a fighter out of action. Roll one extra attack dice for the first Attack action in the next activation. Both Hammer and Sword are successes for that Attack action,-,-,Magore's Fiends expansion
Shadespire,185,185,Bloodslick Ground,Magore's Fiends,Ploy,"In the next activation, enemy fighters have -2 Move",-,-,Magore's Fiends expansion
Shadespire,186,186,Bloody Retribution,Magore's Fiends,Ploy,Reaction: Play this after an Attack action that takes a friendly fighter out of action. A friendly figher adjacent to the attacker makes an Attack action against that fighter,-,-,Magore's Fiends expansion
Shadespire,187,187,Continue the Slaughter,Magore's Fiends,Ploy,Reaction: Play this after an Attack action or ploy that takes a fighter out of action. The first Attack action in the next activation has +1 Damage,-,-,Magore's Fiends expansion
Shadespire,188,188,Daemonic Resilience,Magore's Fiends,Ploy,The first friendly fighter who suffers any amount of damage in the next activation only suffers 1 damage,-,-,Magore's Fiends expansion
Shadespire,189,189,Fountain of Gore,Magore's Fiends,Ploy,Reaction: Play this after an Attack action or ploy that takes a fighter out of action. All friendly fighters have +1 Defence in the next activation,-,-,Magore's Fiends expansion
Shadespire,190,190,Furious Inspiration,Magore's Fiends,Ploy,Choose a friendly fighter. The become Inspired,-,-,Magore's Fiends expansion
Shadespire,191,191,Glory to Khorne,Magore's Fiends,Ploy,Roll one extra attack dice for the first Attack action made by a friendly fighter in the next activation,-,-,Magore's Fiends expansion
Shadespire,192,192,Horrifying Howl,Magore's Fiends,Ploy,Choose an enemy fighter that is adjacent to a friendly fighter and push them up to two hexes,-,-,Magore's Fiends expansion
Shadespire,193,193,"To the Victor, the Spoils",Magore's Fiends,Ploy,Reaction: Play this after a friendly fighter's Attack action that takes an enemy fighter with a Wounds characteristic of 3 or more out of action. Draw three power cards,-,-,Magore's Fiends expansion
Shadespire,194,194,Brutal Charge,Magore's Fiends,Upgrade,Roll an extra attack dice when this fighter makes a Charge action,-,"Magore Redhand, Ghartok Flayskull, Zharkus the Bloodsighted",Magore's Fiends expansion
Shadespire,195,195,Daemonic Maw,Magore's Fiends,Upgrade,"[1 Hex | 2 Sword | 3 Damage] If this Attack action succeeds, remove one wound token from this fighter",-,Magore Redhand,Magore's Fiends expansion
Shadespire,196,196,Furious Charge,Magore's Fiends,Upgrade,When this fighter makes a Charge action both Hammer and Sword are successes,-,Zharkus the Bloodsighted,Magore's Fiends expansion
Shadespire,197,197,No Respite,Magore's Fiends,Upgrade,"Reaction: During an Attack action or ploy that will take this fighter out of action, you can make an Attack action with them",-,"Magore Redhand, Ghartok Flayskull, Zharkus the Bloodsighted",Magore's Fiends expansion
Shadespire,198,198,Predatory Leap,Magore's Fiends,Upgrade,"When this fighter makes a Charge action they can move through other fighters, but their move must end in an empty hex",-,Riptooth the Flesh Hound,Magore's Fiends expansion
Shadespire,199,199,Rage-fuelled Attacks,Magore's Fiends,Upgrade,This fighter's Attack actions with a Range of 1 or 2 have +1 Damage,-,Zharkus the Bloodsighted,Magore's Fiends expansion
Shadespire,200,200,Shake About,Magore's Fiends,Upgrade,This fighter's successful Attack actions with a Range of 1 can push the target one hex (instead of driving them back) in addition to inflicting damage,-,Riptooth the Flesh Hound,Magore's Fiends expansion
Shadespire,201,201,Trophy Hunter,Magore's Fiends,Upgrade,"When this fighter takes an enemy fighter out of action, gain 1 additional glory point",-,Magore Redhand,Magore's Fiends expansion
Shadespire,202,202,Unshakeable,Magore's Fiends,Upgrade,"Reaction: During an Attack action that could drive this fighter back (whether or not your opponent chooses to do so), you can instead push them one hex",-,Riptooth the Flesh Hound,Magore's Fiends expansion
Shadespire,203,203,Wrathful Blows,Magore's Fiends,Upgrade,All of this fighter's Attack actions have +1 Dice,-,Ghartok Flayskull,Magore's Fiends expansion
Shadespire,204,204,Behead the Beast,The Farstriders,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,The Farstriders expansion
Shadespire,205,205,Brave but Cautious,The Farstriders,Objective,Score this in an end phase if you have at least one surviving fighter and none of your fighters suffered any damage in the preceeding action phase,1,-,The Farstriders expansion
Shadespire,206,206,Close with the Enemy,The Farstriders,Objective,Score this in an end phase if three friendly fighters are adjacent to enemy fighters,1,-,The Farstriders expansion
Shadespire,207,207,Eternal Supremacy,The Farstriders,Objective,Score this in an end phase if you hold three of more objectives,3,-,The Farstriders expansion
Shadespire,208,208,Lightning Advance,The Farstriders,Objective,Score this in an end phase if all of your surviving figthers (at least two) are in enemy territory,1,-,The Farstriders expansion
Shadespire,209,209,Meticulous Annihilation,The Farstriders,Objective,Score this in an end phase if all enemy fighters have been taken out of action,3,-,The Farstriders expansion
Shadespire,210,210,Punishing Volleys,The Farstriders,Objective,Score this in an end phase if you made at least three successful Boltstorm Pistol or Overcharged Boltstorm Pistol Attack actions in the preceeding action phase,1,-,The Farstriders expansion
Shadespire,211,211,Ranger Strike,The Farstriders,Objective,Score this immediately if your warband has taken two or more fighters out of action in this phase,1,-,The Farstriders expansion
Shadespire,212,212,Sigmar's Finest,The Farstriders,Objective,Score this in an end phase if your surviving fighters (at least one) are outnumbered by surviving enemy fighters by at least three to one,2,-,The Farstriders expansion
Shadespire,213,213,Fearsome Roar,The Farstriders,Ploy,Choose an enemy fighter adjacent to a friendly fighter. Push them one hex,-,-,The Farstriders expansion
Shadespire,214,214,Firm Footing,The Farstriders,Ploy,Roll an extra defence dice for friendly fighters holding objectives in the next activation,-,-,The Farstriders expansion
Shadespire,215,215,Lightning Blow,The Farstriders,Ploy,The first Attack action in the next activation has +1 Damage,-,-,The Farstriders expansion
Shadespire,216,216,Lightning Stride,The Farstriders,Ploy,"Double the Move characteristic of the first friendly fighter to make a Move action in the next activation. They may not make a Charge action. Once they have moved, they cannot be activated again this phase",-,-,The Farstriders expansion
Shadespire,217,217,Patient Defence,The Farstriders,Ploy,The first friendly fighter to be targeted by an Attack action in the next activation has +1 Defence,-,-,The Farstriders expansion
Shadespire,218,218,"Rangers, Advance",The Farstriders,Ploy,Choose two friendly fighters and push them one hex,-,-,The Farstriders expansion
Shadespire,219,219,Rapid Volley,The Farstriders,Ploy,Reaction: Play this after a friendly fighter's Boltstorm Pistol or Overcharged Boltstorm Pistol Attack action. That fighter can make another Boltstorm Pistol or Overcharged Boltstorm Pistol Attack action that targets the same fighter,-,-,The Farstriders expansion
Shadespire,220,220,Retribution,The Farstriders,Ploy,Reaction: Play this after an Attack action that damages a friendly fighter. That fighter can make an Attack action that must target the attacker,-,-,The Farstriders expansion
Shadespire,221,221,Steady Volley,The Farstriders,Ploy,The first friendly fighter to make a Boltstorm Pistol or Overcharged Bolstorm Pistol Attack action in the next activation can be pushed one hex before they do so,-,-,The Farstriders expansion
Shadespire,222,222,Warning Cry,The Farstriders,Ploy,Choose a friendly fighter and put them on Guard,-,-,The Farstriders expansion
Shadespire,223,223,Aetheric Step,The Farstriders,Upgrade,"This figther can move through other fighters during a Move action, but must end their move in an empty hex",-,Sanson Farstrider,The Farstriders expansion
Shadespire,224,224,Covering Fire,The Farstriders,Upgrade,"This fighter can support an adjacent friendly fighter targetted by an Attack action, even if this fighter is not adjacent to the attacker",-,-,The Farstriders expansion
Shadespire,225,225,Flashing Handaxe,The Farstriders,Upgrade,[1 Hex | 2 Hammer | 3 Damage] Cleave,-,Sanson Farstrider,The Farstriders expansion
Shadespire,226,226,Furious Blow,The Farstriders,Upgrade,"Reaction: During an Attack action that targets this fighter and has failed, this fighter cannot be driven back and can make an Attack action. It must target the attacker",-,Almeric Eagle-Eye,The Farstriders expansion
Shadespire,227,227,Lone Warrior,The Farstriders,Upgrade,Rolls of Support made for this fighter when they are targeted by an Attack action also count as successes when they are adjacent to no friendly fighters,-,-,The Farstriders expansion
Shadespire,228,228,Overcharged Boltstorm Pistol,The Farstriders,Upgrade,[3 Hex | 3 Hammer | 1 Damage] Cleave,-,-,The Farstriders expansion
Shadespire,229,229,Sharp Eyes,The Farstriders,Upgrade,This fighter's Attack actions gain Cleave,-,Almeric Eagle-Eye,The Farstriders expansion
Shadespire,230,230,Spinning Strike,The Farstriders,Upgrade,[1 Hex | 3 Sword | 1 Damage] Targets all adjacent enemy fighters - roll for each,-,Elias Swiftblade,The Farstriders expansion
Shadespire,231,231,Swift Stride,The Farstriders,Upgrade,+2 Move,-,-,The Farstriders expansion
Shadespire,232,232,Well-timed Lunge,The Farstriders,Upgrade,[1 Hex | 2 Hammer | 3 Damage] Cleave,-,Elias Swiftblade,The Farstriders expansion
Shadespire,233,233,Accept Inevitability,Universal,Objective,Score this in the third end phase if all of your fighters are out of action,1,-,Magore's Fiends expansion
Shadespire,234,234,Advancing Strike,Universal,Objective,Score this immediately when your warband takes an enemy fighter standing in enemy territory out of action,1,-,The Farstriders expansion
Shadespire,235,235,Alone in the Darkness,Universal,Objective,Score this in an end phase if there are no adjacent fighters on the battlefield,2,-,Spiteclaw's Swarm expansion
Shadespire,236,236,Annihilation,Universal,Objective,Score this in an end phase if all enemy fighters have been taken out of action,5,-,Core set
Shadespire,237,237,Assassinate,Universal,Objective,Score this in an end phase if your warband took an enemy leader out of action in the preceding action phase,1,-,The Chosen Axes expansion
Shadespire,238,238,Balance of Power,Universal,Objective,Score this immediately when making an Attack action if both the attacker and the target have two supporting fighters,2,-,The Farstriders expansion
Shadespire,239,239,Blooded,Universal,Objective,Score this in an end phase if all of your surviving fighters (at least three) have at least one wound taken,1,-,Ironskull's Boyz expansion
Shadespire,240,240,Bloodless,Universal,Objective,Score this in an end phase if no fighter suffered any damage in the preceding action phase,1,-,Sepulchral Guard expansion
Shadespire,241,241,Brawl,Universal,Objective,Score this in an end phase if all friendly figthers (at least three) are adjacent to enemy fighters,2,-,Ironskull's Boyz expansion
Shadespire,242,242,Butchery,Universal,Objective,Score this in an end phase if your warband took three or more enemy fighters out of action in the preceding action phase,2,-,Spiteclaw's Swarm expansion
Shadespire,243,243,Change of Tactics,Universal,Objective,Score this immediately if a friendly fighter on Guard makes a Charge action,1,-,The Farstriders expansion
Shadespire,244,244,Chosen Champion,Universal,Objective,Score this in an end phase if a surviving friendly fighter has three or more upgrades,1,-,Magore's Fiends expansion
Shadespire,245,245,Complete Victory,Universal,Objective,Score this in the third end phase if none of your fighters are out of action,3,-,The Farstriders expansion
Shadespire,246,246,Concerted Attack,Universal,Objective,Score this immediately if three or more friendly fighters made an Attack action against the same enemy fighter in this phase,1,-,The Farstriders expansion
Shadespire,247,247,Conquest,Universal,Objective,Score this in the third end phase if all of your surviving fighters are in your opponent's territory,2,-,Core set
Shadespire,248,248,Contained,Universal,Objective,Score this in the third end phase if all surviving enemy fighters are in their territory,3,-,Ironskull's Boyz expansion
Shadespire,249,249,Cover Ground,Universal,Objective,Score this immediately if a friendly fighter makes a Move action of six or more hexes,1,-,Spiteclaw's Swarm expansion
Shadespire,250,250,Crushing Force,Universal,Objective,Score this immediately if a friendly fighter makes a successful attack that deals at least twice as much damage as is needed to take their target out of action,1,-,Sepulchral Guard expansion
Shadespire,251,251,Dauntless,Universal,Objective,Score this in an end phase if your fighters are outnumbered by at least three to one,2,-,The Chosen Axes expansion
Shadespire,252,252,Defensive Strike,Universal,Objective,Score this immediately when your warband takes an enemy fighter standing in your territory out of action,1,-,The Farstriders expansion
Shadespire,253,253,Denial,Universal,Objective,Score this in the third end phase if there are no enemy fighters in your territory,3,-,Core set
Shadespire,254,254,Determined Defender,Universal,Objective,Score this in an end phase if the same friendly fighter has held the same objective at the end of two consecutive action phases,1,-,Sepulchral Guard expansion
Shadespire,255,255,Divide and Conquer,Universal,Objective,Score this is an end phase if each player has at least one fighter in their own territory and at least one fighter in enemy territory,1,-,Ironskull's Boyz expansion
Shadespire,256,256,Endless Slaughter,Universal,Objective,Score this in the third end phase if five or more enemy fighters are out of action,3,-,Ironskull's Boyz expansion
Shadespire,257,257,Escalation,Universal,Objective,Score this in an end phase if three or more upgrade cards were played in the preceding action phase,2,-,Spiteclaw's Swarm expansion
Shadespire,258,258,Fearless,Universal,Objective,Score this in an end phase if there are at least three enemy fighters adjacent to the same friendly fighter,1,-,The Farstriders expansion
Shadespire,259,259,Flawless Strategy,Universal,Objective,Score this in an end phase if you scored two or more other objective cards in this phase,1,-,Sepulchral Guard expansion
Shadespire,260,260,Geared for War,Universal,Objective,Score this in an end phase if each of your surviving figthers (at least three) has at least one upgrade,1,-,Ironskull's Boyz expansion
Shadespire,261,261,Heroes All,Universal,Objective,Score this in an end phase if all of your surviving fighters (at least three) are Inspired,1,-,The Farstriders expansion
Shadespire,262,262,Heroic Feat,Universal,Objective,Score this immediately if a friendly fighter's Attack action succeeds when their target has two or more supporting fighters more then the attacker,2,-,Magore's Fiends expansion
Shadespire,263,263,Hold Objective 1,Universal,Objective,Score this in an end phase if you are holding objective 1,1,-,Core set
Shadespire,264,264,Hold Objective 2,Universal,Objective,Score this in an end phase if you are holding objective 2,1,-,Core set
Shadespire,265,265,Hold Objective 3,Universal,Objective,Score this in an end phase if you are holding objective 3,1,-,Core set
Shadespire,266,266,Hold Objective 4,Universal,Objective,Score this in an end phase if you are holding objective 4,1,-,Core set
Shadespire,267,267,Hold Objective 5,Universal,Objective,Score this in an end phase if you are holding objective 5,1,-,Core set
Shadespire,268,268,Honest Opponent,Universal,Objective,Score this in an end phase if you played no ploy cards during the preceding action phase,1,-,The Chosen Axes expansion
Shadespire,269,269,Killing Ground,Universal,Objective,"Score this in an end phase if at least one fighter was taken out of action in the preceding action phase in enemy territory, in your territory and in no one's territory",3,-,Magore's Fiends expansion
Shadespire,270,270,Making a Statement,Universal,Objective,Score this in an end phase if you hold all objectives (at least one) in your opponent's territory,3,-,The Chosen Axes expansion
Shadespire,271,271,Massive Assault,Universal,Objective,Score this immediately if your fighters deal 7 or more damage in an action phase (damage in excess of a fighter's Wounds characteristic is included),1,-,Magore's Fiends expansion
Shadespire,272,272,Master of War,Universal,Objective,"Score this in an end phase if you scored an objective card, played a ploy card and played an upgrade card in this round",1,-,Spiteclaw's Swarm expansion
Shadespire,273,273,Masterstroke,Universal,Objective,Score this immediately if an enemy fighter is taken out of action by an Attack action made as a Reaction by your warband or a Reaction made by your warband that causes damage,1,-,Magore's Fiends expansion
Shadespire,274,274,Miraculous Escape,Universal,Objective,Score this immediately if one of your fighters is the target of an enemy Attack action with a Dice characteristic of 3 or more that fails,1,-,Spiteclaw's Swarm expansion
Shadespire,275,275,Multiple Fronts,Universal,Objective,Score this in an end phase if your warband dealt damage to three or more enemy fighters in the preceding action phase,1,-,Magore's Fiends expansion
Shadespire,276,276,No More Tricks,Universal,Objective,Score this in an end phase if you have no power cards in your hand,1,-,Spiteclaw's Swarm expansion
Shadespire,277,277,No Remorse,Universal,Objective,Score this immediately if one of your fighters takes an enemy fighter out of action with an Attack action with a Damage characteristic greater than the target's Wounds characteristic,1,-,The Chosen Axes expansion
Shadespire,278,278,Our Only Way Out,Universal,Objective,Score this in an end phase if you hold three or more objectives,2,-,The Farstriders expansion
Shadespire,279,279,Overextended,Universal,Objective,Score this in an end phase if you hold every objective,5,-,Spiteclaw's Swarm expansion
Shadespire,280,280,Perfect Planning,Universal,Objective,Score this in an end phase if none of your fighters made a Move action in the preceding action phase,1,-,The Chosen Axes expansion
Shadespire,281,281,Plant a Standard,Universal,Objective,Score this in an end phase if your leader is holding an objective in enemy territory,1,-,Sepulchral Guard expansion
Shadespire,282,282,Ploymaster,Universal,Objective,Score this in an end phase if you played three or more ploys in the preceding action phase,1,-,Ironskull's Boyz expansion
Shadespire,283,283,Poised to Strike,Universal,Objective,Score this in an end phase if at least three friendly fighters are adjacent to the same enemy fighter,1,-,Magore's Fiends expansion
Shadespire,284,284,Precise Use of Force,Universal,Objective,Score this immediately if a friendly fighter makes a successful Attack action that deals exactly enough damage to take their target out of action,1,-,The Chosen Axes expansion
Shadespire,285,285,Pure Carnage,Universal,Objective,Score this in the third end phase if seven or more fighters are out of action,3,-,Magore's Fiends expansion
Shadespire,286,286,Ready for a Challenge,Universal,Objective,Score this in an end phase if all remaining enemy fighters (at least three) have an upgrade,1,-,Spiteclaw's Swarm expansion
Shadespire,287,287,Reaper,Universal,Objective,Score this immediately if a friendly fighter's attack takes two or more enemy fighters out of action,2,-,Sepulchral Guard expansion
Shadespire,288,288,Scent of Victory,Universal,Objective,Score this in an end phase if all surviving enemy fighters (at least three) have at least one wound token,1,-,Ironskull's Boyz expansion
Shadespire,289,289,Skirting Danger,Universal,Objective,Score this in an end phase if all surviving friendly fighters (at least two) are on edge hexes,1,-,The Farstriders expansion
Shadespire,290,290,Stymied,Universal,Objective,Score this in an end phase if your opponent played no power cards in the preceding action phase,1,-,Sepulchral Guard expansion
Shadespire,291,291,Superior Tactician,Universal,Objective,Score this in the third end phase if you have scored six or more other objective cards,3,-,Ironskull's Boyz expansion
Shadespire,292,292,Supremacy,Universal,Objective,Score this in an end phase if you hold three or more objectives,3,-,Core set
Shadespire,293,293,Swift Advance,Universal,Objective,Score this in an end phase if all of your surviving fighters are in enemy territory,1,-,Sepulchral Guard expansion
Shadespire,294,294,Tactical Genius 1-3,Universal,Objective,"Score this in an end phase if you hold objectives 1, 2 and 3",3,-,The Chosen Axes expansion
Shadespire,295,295,Tactical Genius 3-5,Universal,Objective,"Score this in an end phase if you hold objectives 3, 4 and 5",3,-,Spiteclaw's Swarm expansion
Shadespire,296,296,Tactical Supremacy 1-2,Universal,Objective,Score this in an end phase if you hold objectives 1 and 2,2,-,Sepulchral Guard expansion
Shadespire,297,297,Tactical Supremacy 3-4,Universal,Objective,Score this in an end phase if you hold objectives 3 and 4,2,-,Sepulchral Guard expansion
Shadespire,298,298,The Bigger They Are,Universal,Objective,Score this immediately if a friendly fighter takes an enemy fighter out of action with an Attack action that had a Damage characteristic of 1,1,-,Spiteclaw's Swarm expansion
Shadespire,299,299,The Harvest Begins,Universal,Objective,Score this immediately if a friendly fighter makes an Attack action that damages three or more enemy fighters,2,-,Sepulchral Guard expansion
Shadespire,300,300,Total Annihilation,Universal,Objective,Score this in the first or second end phase if all enemy fighters have been taken out of action,7,-,The Chosen Axes expansion
Shadespire,301,301,Trapped,Universal,Objective,Score this immediately if an enemy fighter takes damage from a friendly fighter's Attack action because they cannot be driven back,1,-,The Chosen Axes expansion
Shadespire,302,302,Twilight Conqueror,Universal,Objective,Score this in an end phase if all of your surviving fighters (at least three) are neither in your territory nor enemy territory,1,-,Ironskull's Boyz expansion
Shadespire,303,303,Unbroken Wall,Universal,Objective,Score this in an end phase if all surviving friendly fighters (at least three) are in a single group with each friendly fighter adjacent to another friendly fighter,1,-,The Chosen Axes expansion
Shadespire,304,304,Unstoppable,Universal,Objective,Score this immediately if one of your fighters makes a successful Attack action against an enemy fighter on Guard,1,-,The Farstriders expansion
Shadespire,305,305,Victorious Duel,Universal,Objective,Score this immediately if your leader takes an enemy leader out of action,2,-,Ironskull's Boyz expansion
Shadespire,306,306,Victory After Victory,Universal,Objective,Score this in an end phase if you scored three or more other objective cards in this round,2,-,Magore's Fiends expansion
Shadespire,307,307,War of Attrition,Universal,Objective,Score this in an end phase if the same number of fighters (at least one) from each warband are out of action,1,-,Magore's Fiends expansion
Shadespire,308,308,Anticipation,Universal,Ploy,"Play this card after the final activation in an action phase. Name an objective card. If an opponent scores that objective in the end phase, score a glory point",-,-,Ironskull's Boyz expansion
Shadespire,309,309,Blinding Flash,Universal,Ploy,Reaction: Play this during an Attack action with a Range of 3 or greater (before any dice are rolled). The Attacks characteristic of that Attack action is changed to Sword 1,-,-,Spiteclaw's Swarm expansion
Shadespire,310,310,Confused Priorities,Universal,Ploy,Switch two objectives that are currently being held,-,-,The Chosen Axes expansion
Shadespire,311,311,Confusion,Universal,Ploy,Choose two fighters that are adjacent to each other and switch them,-,-,Core set
Shadespire,312,312,Cruel Taunt,Universal,Ploy,"Choose an enemy fighter and roll an attack dice. On a roll of Hammer or Crit they are no longer Inspired, and cannot be Inspired this game",-,-,Ironskull's Boyz expansion
Shadespire,313,313,Curious Inversion,Universal,Ploy,"For the first Attack action in the next activation, Hammer characteristics become Sword characteristics and vice versa, and Dodge characteristics become Shield characteristics and vice versa",-,-,Spiteclaw's Swarm expansion
Shadespire,314,314,Darkness Descends,Universal,Ploy,The first Attack action in the next activation has a Range of 1,-,-,The Chosen Axes expansion
Shadespire,315,315,Daylight Robbery,Universal,Ploy,Roll an attack dice. If you roll a Hammer or Crit take one of your opponent's unspent glory points,-,-,Ironskull's Boyz expansion
Shadespire,316,316,Death Throes,Universal,Ploy,Reaction: Play this card during an Attack action or ploy that will take a friendly fighter out of action. Choose an enemy fighter adjacent to the taret. They suffer 1 damage,-,-,The Chosen Axes expansion
Shadespire,317,317,Desperate Gambit,Universal,Ploy,"When resolving the first Attack action in the next activation, you and your opponent roll off. The winner chooses whether the Attack action fails or succeeds",-,-,Spiteclaw's Swarm expansion
Shadespire,318,318,Distraction,Universal,Ploy,Choose an enemy fighter and push them one hex,-,-,Ironskull's Boyz expansion
Shadespire,319,319,Dual Strike,Universal,Ploy,One fighter supporting the first Attack action in the next activation is considered to be two supporting fighters,-,-,Ironskull's Boyz expansion
Shadespire,320,320,Duel of Wits,Universal,Ploy,Reaction: Play this when an opponent plays a ploy. Draw two power cards,-,-,Ironskull's Boyz expansion
Shadespire,321,321,Earthquake,Universal,Ploy,Push all fighters one hex. You must push them all in the same direction. Any that cannot be pushed this way are not pushed,-,-,The Chosen Axes expansion
Shadespire,322,322,Ephemeral Shield,Universal,Ploy,The first friendly fighter to be targeted by an Attack action in the next activation has +1 Defence,-,-,The Farstriders expansion
Shadespire,323,323,Flickering Step,Universal,Ploy,Roll eight dice. Choose a friendly fighter and push them up to a number of hexes equal to the number of Crit rolled,-,-,Magore's Fiends expansion
Shadespire,324,324,Forceful Denial,Universal,Ploy,Reaction: Play this when an opponent plays a ploy. Roll a defence dice. On a roll of Shield or Crit that ploy has no effect,-,-,Sepulchral Guard expansion
Shadespire,325,325,Fortify,Universal,Ploy,Friendly fighters holding objectives have +1 Defence for the next activation,-,-,Sepulchral Guard expansion
Shadespire,326,326,Frozen in Time,Universal,Ploy,Choose an enemy fighter and roll a defence dice. On a roll of Shield or Crit that fighter cannot make any actions or be damaged in this phase,-,-,The Farstriders expansion
Shadespire,327,327,Fuelled by Fury,Universal,Ploy,You can re-roll any attack dice for the first friendly fighter's Attack action in the next activation,-,-,The Chosen Axes expansion
Shadespire,328,328,Grapple,Universal,Ploy,Reaction: Play this after an adjacent enemy fighter makes an Attack action that drives a friendly fighter back. Push the attacker into the hex the friendly fighter was driven back from,-,-,Magore's Fiends expansion
Shadespire,329,329,Great Concussion,Universal,Ploy,"Choose a hex on the battlefield, then push all fighters one hex (in whichever order you choose). This push must move them away from the chosen hex. If there is no hex you could push a figther into, do not push them",-,-,The Farstriders expansion
Shadespire,330,330,Healing Potion,Universal,Ploy,Choose a friendly fighter and roll a defence dice. On a roll of Shield or Crit remove up to two wound tokens from them. Otherwise remove one wound token from them,-,-,Core set
Shadespire,331,331,Hidden Paths,Universal,Ploy,Choose a friendly figther that hasn't made a Move action this phase and is on any edge hex. Place them on any other edge hex. They are considered to have made a Move action,-,-,Magore's Fiends expansion
Shadespire,332,332,Illusory Fighter,Universal,Ploy,Choose one of your fighters on the battlefield. Place them on a starting hex in your territory,-,-,Sepulchral Guard expansion
Shadespire,333,333,Improvisation,Universal,Ploy,Discard all power cards in your hand and draw three power cards,-,-,The Farstriders expansion
Shadespire,334,334,Inspiration Strikes,Universal,Ploy,Choose a friendly fighter. They become Inspired,-,-,The Farstriders expansion
Shadespire,335,335,Invisible Walls,Universal,Ploy,All fighters' Move characteristics are reduced to 1 for the next activation,-,-,Magore's Fiends expansion
Shadespire,336,336,Last Chance,Universal,Ploy,"Reaction: Play this during an Attack action that would take a friendly fighter out of action. Roll a defence dice. If the result would not normally be a success for this fighter, ignore the damage from that Attack action on this fighter",-,-,Spiteclaw's Swarm expansion
Shadespire,337,337,Legacy,Universal,Ploy,Reaction: Play this after an Attack action or ploy that takes a friendly fighter out of action. Choose one of their universal upgrades and give it to an adjacent friendly fighter,-,-,The Chosen Axes expansion
Shadespire,338,338,Lethal Strike,Universal,Ploy,"If the first Attack action in the next activation is a critical hit, double its Damage characteristic for that Attack action",-,-,The Farstriders expansion
Shadespire,339,339,Mighty Swing,Universal,Ploy,Your first Attack action with a Range characteristic of 1 in the next activation targets all adjacent enemy fighters. Roll for each,-,-,Sepulchral Guard expansion
